Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
182,M,M,M,M,M,M,M,0,0
183,84,59,71.5,-1.6,0,7,0,0,0
184,89,61,75,1.8,0,10,0,0,0
185,91,65,78,4.7,0,13,0,0,0
186,91,64,77.5,4.1,0,13,0,0,0
187,93,64,78.5,5,0,14,0,0,0
188,93,66,79.5,5.9,0,15,0,0,0
189,90,67,78.5,4.8,0,14,0.02,0,0
190,92,68,80,6.2,0,15,T,0,0
191,91,63,77,3.2,0,12,0,0,0
192,M,M,M,M,M,M,M,0,0
193,M,M,M,M,M,M,M,0,0
194,M,M,M,M,M,M,M,0,0
195,M,M,M,M,M,M,M,0,0
196,M,M,M,M,M,M,M,0,0
197,M,M,M,M,M,M,M,0,0
198,90,71,80.5,6.5,0,16,0.24,0,0
199,90,63,76.5,2.4,0,12,0,0,0
200,94,64,79,4.9,0,14,0,0,0
201,M,M,M,M,M,M,M,0,0
202,M,M,M,M,M,M,M,0,0
203,M,M,M,M,M,M,M,0,0
204,M,M,M,M,M,M,M,0,0
205,88,69,78.5,4.5,0,14,0.28,0,0
206,85,68,76.5,2.5,0,12,0.14,0,0
207,90,66,78,4.1,0,13,0,0,0
208,91,65,78,4.1,0,13,0,0,0
209,93,66,79.5,5.6,0,15,0,0,0
210,81,61,71,-2.9,0,6,0,0,0
211,90,61,75.5,1.7,0,11,0,0,0
212,89,62,75.5,1.7,0,11,1.4,0,0
