"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US (USW00093738)",,,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),Next TAVG (Degrees Fahrenheit)
1,67,76,56,0.4,0,0,64
2,64,77,50,0,0,0,50
3,50,63,37,0,0,0,48
4,48,53,42,0.39,0,0,49
5,49,58,39,0,0,0,48
6,48,63,32,0,0,0,48
7,48,67,28,0,0,,58
8,58,74,41,0.02,0,0,51
9,51,57,45,1.02,0,0,46
10,46,57,35,0,0,0,46
11,46,61,30,0,0,0,49
12,49,66,31,0,0,0,52
13,52,71,32,0,0,0,60
14,60,68,52,0.01,0,0,61
15,61,76,45,0,0,,66
16,66,79,53,0.01,0,0,66
17,66,80,52,0.13,0,,52
18,52,62,42,0,0,0,51
19,51,53,49,0.75,0,0,54
20,54,62,45,0,0,0,55
21,55,69,40,0,0,0,55
22,55,67,43,0,0,0,54
23,54,64,43,0,0,,60
24,60,73,46,0,0,0,64
25,64,75,52,0,0,0,63
26,63,79,46,0.1,0,0,49
27,49,60,38,0.09,0,0,49
28,49,64,34,0,0,0,56
29,56,74,37,0,0,0,65
30,65,74,55,0,0,0,62
31,62,67,57,0.76,0,0,62
32,62,71,53,0.78,0,0,65
33,65,76,53,0.26,0,0,64
34,64,70,58,0.01,0,0,
35,,70,54,0.41,0,0,63
36,63,74,52,0,0,0,64
37,64,74,53,0.56,0,0,64
38,64,69,58,0.86,0,0,64
39,64,70,57,0.04,0,0,63
40,63,68,57,0.07,0,0,57
41,57,59,55,0.11,0,0,55
42,55,57,52,0.38,0,0,61
43,61,71,50,0,0,0,62
44,62,78,45,0,0,0,67
45,67,85,48,0,0,0,73
46,73,90,55,0,0,0,73
47,73,86,60,0,0,0,
48,,85,53,0,0,,73
49,73,91,54,0,0,0,75
50,75,87,63,0,0,0,73
51,73,84,61,0,0,0,62
52,62,74,49,0,0,0,58
53,58,69,47,0,0,0,58
54,58,71,45,0.15,0,0,73
55,73,85,61,0.11,0,0,69
56,69,77,60,0,0,0,64
57,64,71,57,0.02,0,0,69
58,69,83,54,0,0,0,74
59,74,87,61,0,0,0,75
60,75,89,61,0,0,0,79
61,79,89,68,0,0,0,67
62,67,79,54,0.02,0,0,67
63,67,84,49,0.23,0,0,68
64,68,80,56,0.01,0,0,63
65,63,70,55,0,0,0,61
66,61,70,52,0.06,0,0,61
67,61,70,51,0,0,0,57
68,57,68,46,0,0,0,62
69,62,75,49,0,0,0,59
70,59,73,44,0.28,0,0,60
71,60,62,57,0.15,0,0,64
72,64,67,60,0.23,0,0,74
73,74,82,65,0.51,0,0,71
74,71,82,59,1.02,0,0,69
75,69,80,57,0,0,0,69
76,69,79,59,1.44,0,0,76
77,76,88,63,0.31,0,0,73
78,73,83,62,0,0,0,75
79,75,87,62,0,0,0,73
80,73,80,65,0.03,0,0,78
81,78,89,67,0,0,0,77
82,77,89,64,0,0,0,75
83,75,84,66,0.38,0,0,79
84,79,87,70,0.2,0,0,79
85,79,88,69,0,0,0,79
86,79,91,66,0,0,0,83
87,83,95,70,0,0,0,80
88,80,88,71,0.49,0,0,69
89,69,72,66,0.34,0,0,76
90,76,84,67,0.07,0,0,77
91,77,88,66,0.1,0,0,73
92,73,84,61,0,0,0,71
93,71,83,59,0,0,0,71
94,71,86,56,0,0,0,75
95,75,85,65,0,0,0,73
96,73,84,62,0,0,0,71
97,71,84,57,0,0,0,73
98,73,84,62,0,0,0,72
99,72,79,65,0.62,0,0,75
100,75,85,64,0,0,0,75
101,75,87,62,0,0,0,67
102,67,80,54,0,0,0,68
103,68,83,52,0,0,0,73
104,73,87,58,0,0,0,78
105,78,87,68,0,0,0,77
106,77,85,69,0,0,0,80
107,80,91,69,0,0,0,81
108,81,91,71,0.08,0,0,77
109,77,88,65,0,0,0,75
110,75,88,62,0,0,0,80
111,80,91,69,0,0,0,79
112,79,95,63,0,0,0,83
113,83,98,68,0,0,0,81
114,81,92,70,0,0,0,79
115,79,90,68,0,0,0,78
116,78,86,69,0,0,0,74
117,74,82,65,0.39,0,0,73
118,73,85,61,0,0,0,78
119,78,90,66,0,0,0,78
120,78,91,64,0,0,0,81
121,81,93,68,0,0,0,72
122,72,81,63,0.22,0,0,71
123,71,83,58,0,0,0,69
124,69,85,52,0,0,0,69
125,69,87,50,0,0,0,72
126,72,89,54,0,0,0,73
127,73,89,57,0,0,0,72
128,72,89,55,0,0,0,77
129,77,87,66,0,0,0,80
130,80,86,73,0,0,0,81
131,81,88,73,0,0,0,79
132,79,89,69,0.29,0,0,78
133,78,90,66,0,0,0,77
134,77,87,66,0,0,0,75
135,75,87,62,0,0,0,78
136,78,85,71,0.01,0,0,79
137,79,88,69,0,0,0,78
138,78,86,69,0,0,0,79
139,79,88,69,0.09,0,0,79
140,79,92,66,0,0,0,64
141,64,77,51,0,0,0,65
142,65,83,47,0,0,0,71
143,71,90,51,0,0,0,78
144,78,94,61,0,0,0,82
145,82,96,67,0,0,0,80
146,80,97,62,0,0,0,82
147,82,97,66,0,0,0,85
148,85,95,74,0,0,0,79
149,79,86,72,0.05,0,0,82
150,82,94,70,0,0,0,81
151,81,93,68,0,0,0,78
152,78,94,61,0,0,0,79
153,79,94,63,0,0,0,75
154,75,85,65,0,0,0,78
155,78,91,65,0,0,0,70
156,70,85,54,0,0,0,77
157,77,90,63,0,0,0,73
158,73,87,58,0,0,0,75
159,75,97,53,0,0,0,82
160,82,94,69,0.4,0,0,66
161,66,75,57,0.1,0,0,63
162,63,74,52,0,0,0,65
163,65,78,52,0,0,0,68
164,68,86,50,0,0,0,76
165,76,95,57,0,0,0,79
166,79,92,66,0,0,0,78
167,78,95,60,0,0,0,82
168,82,95,69,0,0,0,81
169,81,94,68,0,0,0,78
170,78,88,68,0.62,0,0,76
171,76,83,69,0,0,0,74
172,74,81,67,0,0,0,75
173,75,86,63,0,0,0,80
174,80,92,68,0.07,0,0,76
175,76,86,66,0.06,0,0,57
176,57,70,44,0,0,0,56
177,56,74,38,0,0,0,61
