"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US (USW00093738)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1,,32,24,0,0,0
2,,34,9,0,0,0
3,,37,20,0,0,0
4,,55,30,0,0,0
5,,30,11,0,0,0
6,,46,29,0,0,0
7,,42,17,1.13,0,0
8,,49,28,0,0,0
9,,28,21,0,0,0
10,,27,13,0,0,0
11,,19,3,0.03,,
12,,25,5,0,0,
13,,34,6,0,0,
14,,40,11,0,0,
15,,48,28,0.39,0,0
16,,47,29,0,0,0
17,,37,15,0,0,0
18,,34,20,0,0,0
19,,28,21,,,
20,,35,27,0.03,,
21,,41,22,0,0,
22,,55,36,0.08,0,0
23,,58,36,0.01,0,0
24,,40,21,0.01,0,0
25,,57,23,0,0,0
26,,40,30,0.04,0,0
27,,45,29,0,0,0
28,,36,26,0,0,0
29,,31,21,0,0,0
30,,50,26,0,0,0
31,,34,7,0,0,0
32,,29,24,,,
33,,27,23,0,0,
34,,34,25,0.05,0,
35,,61,23,0,0,
36,,68,27,0,,
37,,33,24,,,
38,,26,8,0,0,
39,,39,16,0,0,
40,,37,21,0.23,,
41,,31,20,0,0,
42,,23,-3,0,0,
43,,23,18,0.11,,
44,,32,1,0,0,
45,,44,29,0.3,,
46,,41,31,0,0,
47,,35,20,0.22,,
48,,42,25,0,0,
49,,42,22,0,0,
50,,36,31,0.57,,
51,,38,31,0.53,,
52,,38,20,0,0,
53,,46,31,0,0,
54,,39,32,0.06,,
55,,50,33,0,0,
56,,36,24,0,0,
57,,39,32,0.93,,
58,,43,39,0.49,,
59,,56,40,0.13,,
60,,40,24,0,0,
61,,35,14,0,0,
62,,32,14,0,0,
63,,42,13,0,0,
64,,32,19,,,
65,,34,29,0.89,,
66,,35,26,0.68,,
67,,38,12,0,0,
68,,34,16,,,
69,,42,32,0,0,
70,,42,32,,,
71,,50,36,1.1,,
72,,50,33,0,0,
73,,47,35,0,0,
74,,47,34,0,0,
75,,47,27,0,0,
76,,49,29,0,0,
77,,49,28,0,0,
78,,51,20,0,0,
79,,60,34,0.04,0,
80,,60,42,0.85,0,0
81,,53,38,0.04,0,0
82,,53,32,0,0,0
83,,56,32,0,0,0
84,,57,32,0,0,0
85,,58,34,0,0,0
86,,60,29,0,0,0
87,,63,35,0,0,0
88,,74,32,0,0,0
89,,78,52,0,0,0
90,,75,59,0.25,0,0
91,,60,41,0.92,0,0
92,,50,31,0,0,0
93,,48,31,0,0,0
94,,55,25,0,0,0
95,,68,32,0,0,0
96,,65,45,0,0,0
97,,67,47,0,0,0
98,,70,52,0.78,0,0
99,,67,43,0.03,0,0
100,,67,43,0,0,0
101,,46,43,0.2,0,0
102,,45,43,0.38,0,0
103,,50,35,0.46,0,0
104,,51,39,0,0,0
105,,50,32,0,0,0
106,,46,30,0,0,0
107,,52,28,0,0,0
108,,57,38,0,0,0
109,,58,34,0,0,0
110,,56,39,0.6,0,0
111,,65,34,0.01,0,0
112,,83,42,0,0,0
113,,84,58,0,0,0
114,,68,34,0,0,0
115,,84,36,0,0,0
116,,86,47,0,0,0
117,,85,59,0,0,0
118,,83,42,0,0,0
119,,85,,0,0,0
120,,82,45,0.04,0,0
121,,80,59,0,0,0
122,,61,51,0.99,0,0
123,,74,45,0.05,0,0
124,,77,47,0,0,0
125,,80,43,0,0,0
126,,82,49,0,0,0
127,,84,58,0,0,0
128,,70,45,0,0,0
129,,58,45,0.27,0,0
130,,63,35,0,0,0
131,,65,50,0,0,0
132,,63,48,0,0,0
133,,72,51,0.3,0,0
134,,80,42,0,0,0
135,,90,60,0,0,0
136,,88,59,0.23,0,0
137,,82,58,0,0,0
138,,90,58,0,0,0
139,,90,60,0,0,0
140,,90,61,0,0,0
141,,85,65,0,0,0
142,,84,56,0,0,0
143,,77,58,0,0,0
144,,83,61,0.15,0,0
145,,83,54,0.32,0,0
146,,83,61,0,0,0
147,,82,58,0.88,0,0
148,,64,55,0.26,0,0
149,,75,52,0,0,0
150,,79,63,0,0,0
151,,81,64,0.06,0,0
152,,81,60,0.01,0,0
153,,83,59,0,0,0
154,,80,61,0,0,0
155,,69,61,0,0,0
156,,70,65,0.34,0,0
157,,75,63,0.26,0,0
158,,75,55,0,0,0
159,,78,54,0,0,0
160,,79,51,0,0,0
161,,84,57,0,0,0
162,,81,48,0,0,0
163,,72,67,0.53,0,0
164,,70,61,0.14,0,0
165,,70,58,0,0,0
166,,74,56,0.83,0,0
167,,84,56,0,0,0
168,,83,51,0,0,0
169,,90,60,0,0,0
170,,89,57,0,0,0
171,,72,65,1.49,0,0
172,,79,54,0.8,0,0
173,,80,53,0,0,0
174,,80,53,0,0,0
175,,84,65,0,0,0
176,,85,65,0,0,0
177,,85,63,0,0,0
178,,81,63,0,0,0
179,,80,58,0,0,0
180,,81,51,0,0,0
181,,84,57,0,0,0
182,,85,59,0,0,0
183,,83,53,0,0,0
184,,79,50,0.11,0,0
185,,76,58,0,0,0
186,,83,63,0,0,0
187,,81,57,0,0,0
188,,83,59,0,0,0
189,,90,66,0,0,0
190,,89,69,0,0,0
191,,85,55,0,0,0
192,,88,63,0,0,0
193,,88,66,0,0,0
194,,88,62,0,0,0
195,,88,66,0.24,0,0
196,,79,63,0.2,0,0
197,,80,63,0.1,0,0
198,,79,,0,0,0
199,,78,65,0.07,0,0
200,,86,56,0.02,0,0
201,,89,69,0,0,0
202,,89,69,0,0,0
203,,89,60,0.04,0,0
204,,87,66,0,0,0
205,,87,61,0,0,0
206,,80,59,0.05,0,0
207,,83,64,0,0,0
208,,82,53,0,0,0
209,,83,48,0,0,0
210,,75,58,0.03,0,0
211,,82,65,0,0,0
212,,90,65,0,0,0
213,,90,62,0,0,0
214,,88,55,0,0,0
215,,85,55,0,0,0
216,,78,62,0.05,0,0
217,,88,65,0,0,0
218,,88,68,0.05,0,0
219,,89,70,0,0,0
220,,93,61,0,0,0
221,,92,64,0.04,0,0
222,,75,63,0,0,0
223,,78,53,0,0,0
224,,84,51,0,0,0
225,,88,53,0,0,0
226,,85,59,0,0,0
227,,85,53,0,0,0
228,,89,61,0,0,0
229,,90,63,0,0,0
230,,87,59,0,0,0
231,,85,55,0,0,0
232,,97,53,0,0,0
233,,96,76,0,0,0
234,,94,63,0.09,0,0
235,,88,54,0,0,0
236,,82,55,0,0,0
237,,83,55,0,0,0
238,,89,59,0,0,0
239,,89,62,0,0,0
240,,84,68,0,0,0
241,,88,59,0,0,0
242,,94,63,0,0,0
243,,97,57,0,0,0
244,,98,60,0,0,0
245,,95,72,0,0,0
246,,75,63,0.95,0,0
247,,75,63,0.13,0,0
248,,76,44,0.28,0,0
249,,70,51,0,0,0
250,,74,45,0,0,0
251,,78,45,0,0,0
252,,81,56,0,0,0
253,,89,67,0,0,0
254,,87,66,0,0,0
