"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US (USW00093738)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1962-01-01,,32,24,0,0,0
1962-01-02,,34,9,0,0,0
1962-01-03,,37,20,0,0,0
1962-01-04,,55,30,0,0,0
1962-01-05,,30,11,0,0,0
1962-01-06,,46,29,0,0,0
1962-01-07,,42,17,1.13,0,0
1962-01-08,,49,28,0,0,0
1962-01-09,,28,21,0,0,0
1962-01-10,,27,13,0,0,0
1962-01-11,,19,3,0.03,,
1962-01-12,,25,5,0,0,
1962-01-13,,34,6,0,0,
1962-01-14,,40,11,0,0,
1962-01-15,,48,28,0.39,0,0
1962-01-16,,47,29,0,0,0
1962-01-17,,37,15,0,0,0
1962-01-18,,34,20,0,0,0
1962-01-19,,28,21,,,
1962-01-20,,35,27,0.03,,
1962-01-21,,41,22,0,0,
1962-01-22,,55,36,0.08,0,0
1962-01-23,,58,36,0.01,0,0
1962-01-24,,40,21,0.01,0,0
1962-01-25,,57,23,0,0,0
1962-01-26,,40,30,0.04,0,0
1962-01-27,,45,29,0,0,0
1962-01-28,,36,26,0,0,0
1962-01-29,,31,21,0,0,0
1962-01-30,,50,26,0,0,0
1962-01-31,,34,7,0,0,0
1962-02-01,,29,24,,,
1962-02-02,,27,23,0,0,
1962-02-03,,34,25,0.05,0,
1962-02-04,,61,23,0,0,
1962-02-05,,68,27,0,,
1962-02-06,,33,24,,,
1962-02-07,,26,8,0,0,
1962-02-08,,39,16,0,0,
1962-02-09,,37,21,0.23,,
1962-02-10,,31,20,0,0,
1962-02-11,,23,-3,0,0,
1962-02-12,,23,18,0.11,,
1962-02-13,,32,1,0,0,
1962-02-14,,44,29,0.3,,
1962-02-15,,41,31,0,0,
1962-02-16,,35,20,0.22,,
1962-02-17,,42,25,0,0,
1962-02-18,,42,22,0,0,
1962-02-19,,36,31,0.57,,
1962-02-20,,38,31,0.53,,
1962-02-21,,38,20,0,0,
1962-02-22,,46,31,0,0,
1962-02-23,,39,32,0.06,,
1962-02-24,,50,33,0,0,
1962-02-25,,36,24,0,0,
1962-02-26,,39,32,0.93,,
1962-02-27,,43,39,0.49,,
1962-02-28,,56,40,0.13,,
1962-03-01,,40,24,0,0,
1962-03-02,,35,14,0,0,
1962-03-03,,32,14,0,0,
1962-03-04,,42,13,0,0,
1962-03-05,,32,19,,,
1962-03-06,,34,29,0.89,,
1962-03-07,,35,26,0.68,,
1962-03-08,,38,12,0,0,
1962-03-09,,34,16,,,
1962-03-10,,42,32,0,0,
1962-03-11,,42,32,,,
1962-03-12,,50,36,1.1,,
1962-03-13,,50,33,0,0,
1962-03-14,,47,35,0,0,
1962-03-15,,47,34,0,0,
1962-03-16,,47,27,0,0,
1962-03-17,,49,29,0,0,
1962-03-18,,49,28,0,0,
1962-03-19,,51,20,0,0,
1962-03-20,,60,34,0.04,0,
1962-03-21,,60,42,0.85,0,0
1962-03-22,,53,38,0.04,0,0
1962-03-23,,53,32,0,0,0
1962-03-24,,56,32,0,0,0
1962-03-25,,57,32,0,0,0
1962-03-26,,58,34,0,0,0
1962-03-27,,60,29,0,0,0
1962-03-28,,63,35,0,0,0
1962-03-29,,74,32,0,0,0
